Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2017-01-03,44.2966,48.45,0.0,1.0,48.63,48.14,48.5,18880700.0
2017-01-04,44.4612,48.63,0.0,1.0,48.88,48.43,48.52,14550500.0
2017-01-05,44.5069,48.68,0.0,1.0,48.76,48.16,48.74,16306400.0
2017-01-06,44.644,48.83,0.0,1.0,48.92,48.35,48.44,10967200.0
2017-01-09,44.0589,48.19,0.0,1.0,49.03,48.18,49.01,13847200.0
2017-01-10,43.9218,48.04,0.0,1.0,48.2002,47.85,48.18,11224200.0
2017-01-11,44.3789,48.54,0.0,1.0,48.59,48.02,48.0344,13397700.0
2017-01-12,44.4155,48.58,0.0,1.0,48.66,48.29,48.57,9410400.0
2017-01-13,44.3515,48.51,0.0,1.0,48.65,48.2,48.48,12173300.0
2017-01-17,44.836,49.04,0.0,1.0,49.2,48.625,48.67,15326000.0
2017-01-18,44.7812,48.98,0.0,1.0,49.22,48.9,48.9,13230900.0
2017-01-19,44.3881,48.55,0.0,1.0,48.98,48.43,48.6971,13800500.0
2017-01-20,44.4703,48.64,0.0,1.0,48.78,48.33,48.62,11874200.0
2017-01-23,44.2418,48.39,0.0,1.0,48.82,48.34,48.71,10625500.0
2017-01-24,44.2326,48.38,0.0,1.0,48.59,48.29,48.38,11049400.0
2017-01-25,44.2326,48.38,0.0,1.0,48.43,48.111,48.16,19230000.0
2017-01-26,44.2509,48.4,0.0,1.0,48.63,48.18,48.36,11488200.0
2017-01-27,44.2418,48.39,0.0,1.0,48.64,48.29,48.4846,7228800.0
2017-01-30,44.2783,48.43,0.0,1.0,48.59,48.14,48.41,9319900.0
2017-01-31,44.964,49.18,0.0,1.0,49.22,48.42,48.47,15916500.0
2017-02-01,44.1869,48.33,0.0,1.0,48.94,48.19,48.92,24379500.0
2017-02-02,44.6532,48.84,0.0,1.0,48.84,48.19,48.48,15661100.0
2017-02-03,44.708,48.9,0.0,1.0,49.1,48.792,48.9803,11336600.0
2017-02-06,44.6166,48.8,0.0,1.0,49.12,48.75,49.09,7042000.0
2017-02-07,44.7263,48.92,0.0,1.0,48.9993,48.75,48.88,6109100.0
2017-02-08,45.1652,49.4,0.0,1.0,49.49,48.9521,49.04,15882000.0
2017-02-09,44.7812,48.98,0.0,1.0,49.47,48.86,49.35,14496000.0
2017-02-10,45.0646,49.29,0.0,1.0,49.355,48.84,48.85,9479600.0
2017-02-13,45.284,49.53,0.0,1.0,49.58,49.16,49.3286,13042800.0
2017-02-14,44.9549,49.17,0.0,1.0,49.48,48.91,49.46,18784300.0
2017-02-15,44.8452,49.05,0.0,1.0,49.067,48.65,48.82,18925400.0
2017-02-16,45.2932,49.54,0.0,1.0,49.56,49.06,49.06,14001100.0
2017-02-17,45.3206,49.57,0.0,1.0,49.72,49.29,49.67,9973500.0
2017-02-21,45.796,50.09,0.0,1.0,50.2,49.33,49.5,11358500.0
2017-02-22,45.988,50.3,0.0,1.0,50.4,49.89,50.09,16018600.0
2017-02-23,46.4634,50.82,0.0,1.0,51.0,50.41,50.52,15003600.0
2017-02-24,47.1674,51.59,0.0,1.0,51.59,50.99,50.99,18629700.0
2017-02-27,46.9023,51.3,0.0,1.0,51.529,51.23,51.49,13982900.0
2017-02-28,47.332,51.77,0.0,1.0,51.9,51.2,51.29,14410400.0
2017-03-01,46.9114,51.31,0.0,1.0,51.685,50.98,51.03,29121600.0
2017-03-02,47.2497,51.68,0.0,1.0,52.0,51.06,51.13,17372800.0
2017-03-03,47.1034,51.52,0.0,1.0,51.705,51.09,51.68,17575000.0
2017-03-06,47.012,51.42,0.0,1.0,51.53,51.24,51.43,7616800.0
2017-03-07,46.9846,51.39,0.0,1.0,51.5832,51.32,51.36,17951700.0
2017-03-08,46.308,50.65,0.0,1.0,50.9996,50.551,50.95,18393900.0
2017-03-09,46.2075,50.54,0.0,1.0,50.95,50.5,50.77,12842800.0
2017-03-10,46.5914,50.96,0.0,1.0,51.06,50.64,50.81,11491800.0
2017-03-13,46.7286,51.11,0.0,1.0,51.14,50.86,50.92,14058000.0
2017-03-14,46.6829,51.06,0.0,1.0,51.2,50.89,51.05,11670500.0
2017-03-15,47.4326,51.88,0.0,1.0,52.14,51.14,51.24,22619200.0
2017-03-16,46.9114,51.31,0.0,1.0,51.78,51.2124,51.78,18728400.0
2017-03-17,47.1943,51.23,0.387,1.0,51.52,51.04,51.1,15128500.0
2017-03-20,46.881,50.904,0.0,1.0,51.45,50.75,51.35,7148000.0
2017-03-21,47.5443,51.61,0.0,1.0,51.8,50.89,50.92,25417100.0
2017-03-22,47.7746,51.86,0.0,1.0,52.23,51.65,51.82,25252800.0
2017-03-23,47.6272,51.7,0.0,1.0,52.17,51.56,51.85,22565300.0
2017-03-24,47.8023,51.89,0.0,1.0,52.08,51.6,51.73,12407100.0
2017-03-27,47.618,51.69,0.0,1.0,52.21,51.49,52.1,11821400.0
2017-03-28,47.5812,51.65,0.0,1.0,51.74,51.42,51.68,8477800.0
2017-03-29,47.4522,51.51,0.0,1.0,51.678,51.29,51.63,6955500.0
2017-03-30,47.0837,51.11,0.0,1.0,51.43,50.97,51.43,19711200.0
2017-03-31,47.268,51.31,0.0,1.0,51.558,51.13,51.17,9991000.0
2017-04-03,47.2587,51.3,0.0,1.0,51.31,50.8351,51.31,15475800.0
2017-04-04,47.4061,51.46,0.0,1.0,51.6513,51.15,51.25,10134300.0
2017-04-05,47.6733,51.75,0.0,1.0,51.8,51.29,51.4,12649500.0
2017-04-06,47.5535,51.62,0.0,1.0,51.71,51.42,51.69,9388800.0
2017-04-07,47.3509,51.4,0.0,1.0,51.89,51.36,51.82,19918000.0
2017-04-10,47.4338,51.49,0.0,1.0,51.55,51.14,51.43,8484800.0
2017-04-11,47.4153,51.47,0.0,1.0,51.5709,51.13,51.52,9844200.0
2017-04-12,47.7654,51.85,0.0,1.0,51.88,51.24,51.4,10521000.0
2017-04-13,47.6088,51.68,0.0,1.0,51.92,51.45,51.91,10856100.0
2017-04-17,47.8207,51.91,0.0,1.0,51.93,51.66,51.8,7272600.0
2017-04-18,47.9312,52.03,0.0,1.0,52.14,51.83,51.99,14707400.0
2017-04-19,47.5996,51.67,0.0,1.0,51.99,51.485,51.97,12517000.0
2017-04-20,47.4153,51.47,0.0,1.0,51.6098,51.1,51.61,13482300.0
2017-04-21,47.6549,51.73,0.0,1.0,51.95,51.3951,51.4,13258700.0
2017-04-24,47.9036,52.0,0.0,1.0,52.06,51.43,51.78,18106700.0
2017-04-25,47.8391,51.93,0.0,1.0,52.01,51.64,51.85,10891600.0
2017-04-26,47.6917,51.77,0.0,1.0,52.16,51.72,51.92,9597400.0
2017-04-27,47.8575,51.95,0.0,1.0,52.2,51.71,51.75,9466500.0
2017-04-28,47.6272,51.7,0.0,1.0,51.95,51.54,51.88,9405700.0
2017-05-01,47.3417,51.39,0.0,1.0,51.82,51.26,51.82,10692500.0
2017-05-02,47.3969,51.45,0.0,1.0,51.64,51.2388,51.45,9438600.0
2017-05-03,47.2311,51.27,0.0,1.0,51.58,51.24,51.52,10507200.0
2017-05-04,47.3969,51.45,0.0,1.0,51.51,51.11,51.12,14039100.0
2017-05-05,47.6549,51.73,0.0,1.0,51.92,51.55,51.6,10785300.0
2017-05-08,47.6364,51.71,0.0,1.0,51.83,51.45,51.77,8789700.0
2017-05-09,47.2864,51.33,0.0,1.0,51.71,51.24,51.67,7758900.0
2017-05-10,47.3601,51.41,0.0,1.0,51.52,51.1269,51.37,8439800.0
2017-05-11,47.4246,51.48,0.0,1.0,51.4771,51.07,51.28,7699200.0
2017-05-12,47.6549,51.73,0.0,1.0,51.84,51.53,51.6,7523100.0
2017-05-15,47.8575,51.95,0.0,1.0,52.04,51.68,51.74,6351100.0
2017-05-16,47.5075,51.57,0.0,1.0,52.02,51.513,51.87,7653100.0
2017-05-17,47.6272,51.7,0.0,1.0,51.94,51.47,51.7,15032800.0
2017-05-18,47.7931,51.88,0.0,1.0,52.145,51.435,51.81,16876000.0
2017-05-19,47.9773,52.08,0.0,1.0,52.08,51.58,51.87,9901300.0
2017-05-22,48.3918,52.53,0.0,1.0,52.61,51.9694,52.0,7779300.0
2017-05-23,48.5208,52.67,0.0,1.0,52.98,52.53,52.62,15290200.0
2017-05-24,48.7972,52.97,0.0,1.0,53.06,52.67,52.72,7602300.0
2017-05-25,49.1933,53.4,0.0,1.0,53.49,52.945,53.08,16777300.0
2017-05-26,49.1933,53.4,0.0,1.0,53.52,53.3,53.43,7649600.0
2017-05-30,49.3499,53.57,0.0,1.0,53.7,53.2906,53.44,6292300.0
2017-05-31,49.5986,53.84,0.0,1.0,54.03,53.57,53.6295,12620700.0
2017-06-01,49.9487,54.22,0.0,1.0,54.23,53.64,53.7,11118600.0
2017-06-02,50.004,54.28,0.0,1.0,54.63,54.1201,54.63,9956600.0
2017-06-05,49.8474,54.11,0.0,1.0,54.33,54.03,54.28,7350000.0
2017-06-06,49.7368,53.99,0.0,1.0,54.23,53.92,54.23,7501200.0
2017-06-07,49.9026,54.17,0.0,1.0,54.295,53.9,53.99,7881300.0
2017-06-08,49.4881,53.72,0.0,1.0,54.1,53.39,54.06,13292600.0
2017-06-09,49.442,53.67,0.0,1.0,53.71,53.285,53.55,13938200.0
2017-06-12,49.3499,53.57,0.0,1.0,53.96,53.27,53.7405,12821100.0
2017-06-13,49.4697,53.7,0.0,1.0,53.741,53.38,53.5134,8914900.0
2017-06-14,49.7368,53.99,0.0,1.0,54.28,53.82,54.04,15832100.0
2017-06-15,50.0224,54.3,0.0,1.0,54.355,53.84,53.84,15549500.0
2017-06-16,50.2518,54.11,0.437,1.0,54.22,53.92,54.02,17695800.0
2017-06-19,50.0846,53.93,0.0,1.0,54.1907,53.74,54.16,17822300.0
2017-06-20,50.1125,53.96,0.0,1.0,54.03,53.86,53.99,7588500.0
2017-06-21,49.8153,53.64,0.0,1.0,54.04,53.36,53.95,10076600.0
2017-06-22,49.5831,53.39,0.0,1.0,53.757,53.35,53.56,7931200.0
2017-06-23,49.416,53.21,0.0,1.0,53.6,53.0961,53.4,8643100.0
2017-06-26,49.7503,53.57,0.0,1.0,53.87,53.14,53.33,10355000.0
2017-06-27,49.1931,52.97,0.0,1.0,53.48,52.82,53.33,10478800.0
2017-06-28,48.7194,52.46,0.0,1.0,53.25,52.41,53.13,9288800.0
2017-06-29,48.3294,52.04,0.0,1.0,52.22,51.8403,52.15,20595700.0
2017-06-30,48.2551,51.96,0.0,1.0,52.38,51.96,52.1,15112900.0
2017-07-03,48.0322,51.72,0.0,1.0,52.18,51.65,52.039,12704700.0
2017-07-05,47.8,51.47,0.0,1.0,51.89,51.334,51.89,14002600.0
2017-07-06,47.7815,51.45,0.0,1.0,51.51,51.255,51.26,14036800.0
2017-07-07,47.8186,51.49,0.0,1.0,51.74,51.39,51.44,13263000.0
2017-07-10,47.7815,51.45,0.0,1.0,51.755,51.41,51.64,16313800.0
2017-07-11,47.7536,51.42,0.0,1.0,51.53,51.17,51.53,9055900.0
2017-07-12,48.1622,51.86,0.0,1.0,52.01,51.77,51.87,12143000.0
2017-07-13,47.9951,51.68,0.0,1.0,51.965,51.6458,51.83,6921000.0
2017-07-14,48.2179,51.92,0.0,1.0,52.16,51.86,52.02,12607500.0
2017-07-17,48.4408,52.16,0.0,1.0,52.16,51.84,51.95,7669000.0
2017-07-18,48.5801,52.31,0.0,1.0,52.365,52.14,52.28,7890400.0
2017-07-19,48.7845,52.53,0.0,1.0,52.5476,52.25,52.4,10669400.0
2017-07-20,49.1374,52.91,0.0,1.0,52.92,52.54,52.67,8462500.0
2017-07-21,49.4903,53.29,0.0,1.0,53.29,52.74,52.92,9252000.0
2017-07-24,49.0259,52.79,0.0,1.0,53.32,52.71,53.32,10534800.0
2017-07-25,48.7473,52.49,0.0,1.0,52.83,52.43,52.68,10568100.0
2017-07-26,49.2117,52.99,0.0,1.0,52.99,52.4,52.4838,8631200.0
2017-07-27,49.3324,53.12,0.0,1.0,53.12,52.775,52.84,9586900.0
2017-07-28,49.2581,53.04,0.0,1.0,53.19,52.79,53.04,9639000.0
2017-07-31,49.4253,53.22,0.0,1.0,53.34,52.9,52.98,11861300.0
2017-08-01,49.7039,53.52,0.0,1.0,53.62,53.25,53.3,10823100.0
2017-08-02,49.9175,53.75,0.0,1.0,53.76,53.09,53.41,8015900.0
2017-08-03,50.1682,54.02,0.0,1.0,54.02,53.58,53.82,10464700.0
2017-08-04,49.9453,53.78,0.0,1.0,53.9,53.49,53.74,17465400.0
2017-08-07,50.1032,53.95,0.0,1.0,53.97,53.7,53.84,5161400.0
2017-08-08,50.3075,54.17,0.0,1.0,54.17,53.83,53.9,7568700.0
2017-08-09,50.0475,53.89,0.0,1.0,54.4,53.85,54.26,8852200.0
2017-08-10,50.2054,54.06,0.0,1.0,54.16,53.69,53.81,9614800.0
2017-08-11,49.9082,53.74,0.0,1.0,54.053,53.55,53.94,9336300.0
2017-08-14,50.1961,54.05,0.0,1.0,54.08,53.74,53.75,11827800.0
2017-08-15,50.4747,54.35,0.0,1.0,54.39,53.65,53.68,9582300.0
2017-08-16,50.679,54.57,0.0,1.0,54.6,54.26,54.26,7131800.0
2017-08-17,50.3168,54.18,0.0,1.0,54.63,54.14,54.45,8956300.0
2017-08-18,50.614,54.5,0.0,1.0,54.7622,54.0,54.0,14848800.0
2017-08-21,50.7997,54.7,0.0,1.0,54.79,54.445,54.66,5656000.0
2017-08-22,50.9112,54.82,0.0,1.0,54.83,54.54,54.73,8150300.0
2017-08-23,51.0783,55.0,0.0,1.0,55.02,54.6159,54.8,7046300.0
2017-08-24,51.0412,54.96,0.0,1.0,55.09,54.86,54.97,7017400.0
2017-08-25,51.2084,55.14,0.0,1.0,55.337,54.955,55.0869,7861800.0
2017-08-28,51.3012,55.24,0.0,1.0,55.33,54.98,55.33,7872700.0
2017-08-29,51.1898,55.12,0.0,1.0,55.42,55.11,55.3294,7930300.0
2017-08-30,51.0412,54.96,0.0,1.0,55.14,54.88,55.0921,5751100.0
2017-08-31,51.0505,54.97,0.0,1.0,55.115,54.93,55.01,10469500.0
2017-09-01,50.8926,54.8,0.0,1.0,55.14,54.64,55.053,11268700.0
2017-09-05,51.0226,54.94,0.0,1.0,54.98,54.63,54.9,9040400.0
2017-09-06,50.7904,54.69,0.0,1.0,55.09,54.59,55.0,11428700.0
2017-09-07,51.1712,55.1,0.0,1.0,55.16,54.685,54.74,12351700.0
2017-09-08,51.4127,55.36,0.0,1.0,55.3991,54.92,55.02,9019900.0
2017-09-11,51.8492,55.83,0.0,1.0,55.9,55.25,55.26,10091600.0
2017-09-12,50.9855,54.9,0.0,1.0,55.79,54.6,55.79,18895300.0
2017-09-13,50.7347,54.63,0.0,1.0,54.89,54.585,54.85,10729100.0
2017-09-14,51.1619,55.09,0.0,1.0,55.1116,54.44,54.6,10195400.0
2017-09-15,51.234,54.75,0.417,1.0,54.91,54.5,54.83,8515100.0
2017-09-18,50.7099,54.19,0.0,1.0,54.75,53.83,54.71,15803500.0
2017-09-19,50.607,54.08,0.0,1.0,54.315,53.995,54.28,15780000.0
2017-09-20,50.2327,53.68,0.0,1.0,54.287,53.47,54.17,19747000.0
2017-09-21,50.2233,53.67,0.0,1.0,54.02,53.6,53.73,10712300.0
2017-09-22,49.8116,53.23,0.0,1.0,53.89,53.23,53.82,11241900.0
2017-09-25,50.2701,53.72,0.0,1.0,53.775,53.2204,53.31,11723300.0
2017-09-26,50.1765,53.62,0.0,1.0,53.807,53.52,53.7,10011100.0
2017-09-27,49.5028,52.9,0.0,1.0,53.46,52.64,53.25,12350800.0
2017-09-28,49.6806,53.09,0.0,1.0,53.225,52.57,52.71,14182500.0
2017-09-29,49.6432,53.05,0.0,1.0,53.265,52.86,53.11,12127100.0
2017-10-02,49.7274,53.14,0.0,1.0,53.385,52.96,53.02,16614300.0
2017-10-03,49.587,52.99,0.0,1.0,53.18,52.66,53.17,9557500.0
2017-10-04,50.083,53.52,0.0,1.0,53.54,52.86,53.02,12140500.0
2017-10-05,50.0362,53.47,0.0,1.0,53.575,53.23,53.5,12639200.0
2017-10-06,49.9987,53.43,0.0,1.0,53.45,53.02,53.22,10418200.0
2017-10-09,50.0643,53.5,0.0,1.0,53.63,53.43,53.53,7340700.0
2017-10-10,50.5509,54.02,0.0,1.0,54.03,53.46,53.63,8326800.0
2017-10-11,50.7661,54.25,0.0,1.0,54.515,53.95,53.96,15469100.0
2017-10-12,51.0281,54.53,0.0,1.0,54.67,54.22,54.31,13668200.0
2017-10-13,50.6725,54.15,0.0,1.0,54.77,53.99,54.68,12712700.0
2017-10-16,50.5602,54.03,0.0,1.0,54.25,53.59,54.13,11246400.0
2017-10-17,50.8597,54.35,0.0,1.0,54.4611,53.845,54.0,9599600.0
2017-10-18,50.7661,54.25,0.0,1.0,54.3534,54.04,54.12,8691000.0
2017-10-19,51.2995,54.82,0.0,1.0,54.82,54.29,54.35,10285900.0
2017-10-20,51.3369,54.86,0.0,1.0,54.97,54.58,54.6,11231400.0
2017-10-23,51.365,54.89,0.0,1.0,55.0,54.6588,54.85,10611000.0
2017-10-24,51.4118,54.94,0.0,1.0,55.0,54.665,54.8,11335700.0
2017-10-25,51.1872,54.7,0.0,1.0,54.81,54.05,54.71,18331300.0
2017-10-26,51.1965,54.71,0.0,1.0,55.245,54.69,54.96,17329600.0
2017-10-27,51.5147,55.05,0.0,1.0,55.18,54.55,54.65,10366100.0
2017-10-30,51.5241,55.06,0.0,1.0,55.17,54.88,55.03,10057400.0
2017-10-31,51.5802,55.12,0.0,1.0,55.23,54.88,55.02,9532000.0
2017-11-01,51.2901,54.81,0.0,1.0,55.21,54.715,55.21,10879200.0
2017-11-02,51.4773,55.01,0.0,1.0,55.2392,54.67,54.81,14726900.0
2017-11-03,51.6644,55.21,0.0,1.0,55.48,54.82,54.94,11632200.0
2017-11-06,51.4679,55.0,0.0,1.0,55.31,54.97,55.28,11996500.0
2017-11-07,52.0855,55.66,0.0,1.0,55.74,54.8872,55.09,11324500.0
2017-11-08,52.123,55.7,0.0,1.0,55.845,55.31,55.6302,9584900.0
2017-11-09,52.1885,55.77,0.0,1.0,55.87,55.41,55.54,10762600.0
2017-11-10,51.9452,55.51,0.0,1.0,55.635,55.32,55.47,11036500.0
2017-11-13,52.5628,56.17,0.0,1.0,56.22,55.57,55.57,9822800.0
2017-11-14,53.2178,56.87,0.0,1.0,56.91,55.99,56.0143,12373800.0
2017-11-15,52.7593,56.38,0.0,1.0,57.23,56.32,57.09,12065200.0
2017-11-16,52.5909,56.2,0.0,1.0,56.369,56.03,56.24,11441100.0
2017-11-17,52.2259,55.81,0.0,1.0,56.22,55.76,56.08,16650400.0
2017-11-20,52.0668,55.64,0.0,1.0,55.906,55.55,55.84,9291900.0
2017-11-21,52.2072,55.79,0.0,1.0,55.945,55.64,55.8,7756000.0
2017-11-22,52.2072,55.79,0.0,1.0,55.895,55.575,55.75,5578900.0
2017-11-24,52.2914,55.88,0.0,1.0,56.1,55.79,55.82,5002200.0
2017-11-27,52.516,56.12,0.0,1.0,56.215,55.81,55.95,7196800.0
2017-11-28,52.7593,56.38,0.0,1.0,56.49,56.14,56.26,9185500.0
2017-11-29,52.7874,56.41,0.0,1.0,56.65,55.99,56.19,15569400.0
2017-11-30,52.9652,56.6,0.0,1.0,56.72,56.365,56.48,15891500.0
2017-12-01,52.7874,56.41,0.0,1.0,56.9,56.1,56.79,24075900.0
2017-12-04,52.4879,56.09,0.0,1.0,56.6646,55.995,56.44,13055800.0
2017-12-05,51.8235,55.38,0.0,1.0,56.18,55.11,56.18,19876000.0
2017-12-06,52.02,55.59,0.0,1.0,55.695,55.29,55.47,9444800.0
2017-12-07,52.1136,55.69,0.0,1.0,55.7,55.25,55.49,11475200.0
2017-12-08,52.2821,55.87,0.0,1.0,55.875,55.4,55.62,9975300.0
